date,moving_time,activity_id,name,distance,elevation gain,type,trainer,average_speed,average_watts,suffer_score,average_heartrate,average_cadence,kilojoules,gear_id,average_temp,start_longitude,start_latitude,device_watts
2020-07-09,0 days 01:00:42.000000000,3736531260,Group Workout: Ebbetts +2 w Dad & Hunter,18.24,0.0,Ride,True,18.025232641374373,154.6,72,151.2,87.9,563.0,b4933861,,,,True
2020-07-06,0 days 00:20:01.000000000,3724400147,Ramp Test,5.66,0.0,Ride,True,16.953740157480315,175.2,25,151.5,83.1,210.4,b4933861,,,,True
2020-06-21,0 days 00:55:34.000000000,3650328303,Morning Ride,13.17,219.81627296587925,Ride,False,14.217967072297782,92.3,19,126.8,76.9,307.8,b4933861,26,-104.97,39.74,True
2020-06-16,0 days 00:20:31.000000000,3626733948,Pettit,5.97,0.0,Ride,True,17.452576950608446,153.7,12,137.2,85.7,189.3,b4933861,,,,True
2020-06-13,0 days 01:30:00.000000000,3609777201,Junction -1: Every now and then I think to myself. “TrainerRoad are a bunch of psychopaths”  ,25.48,0.0,Ride,True,16.987294201861133,161.2,157,159.5,88.8,870.7,b4933861,,,,True
2020-06-12,0 days 00:45:11.000000000,3604385266,Mokelumne: fasted ride,15.6,0.0,Ride,True,20.718503937007874,153.8,65,153.9,90.7,417.0,b4933861,,,,True
2020-06-11,0 days 00:47:40.000000000,3600545290,Avalanche Spire +1: Something is better than nothing,15.28,0.0,Ride,True,19.235415175375806,180.6,75,157.2,86.5,516.4,b4933861,,,,True
2020-06-05,0 days 01:00:23.000000000,3569207093,Lion Rock: Sneaking one in,19.54,0.0,Ride,True,19.416607015032213,166.5,107,159.8,84.3,603.2,b4933861,,,,True
2020-06-02,0 days 00:45:06.000000000,3555693210,Pettit +1,12.04,0.0,Ride,True,16.011989978525413,150.0,29,139.9,86.7,405.8,b4933861,,,,True
2020-06-01,0 days 01:20:05.000000000,3550096343,Baird +6: the first VO2s are the deepest,22.97,0.0,Ride,True,17.21098783106657,168.0,112,153.7,83.8,807.2,b4933861,,,,True
